Name:  CUDA
Speed:  100.0
Property names:  ('DeviceIndex', 'DeviceName', 'UseBlockingSync', 'Precision', 'UseCpuPme', 'CudaCompiler', 'TempDirectory', 'CudaHostCompiler', 'DisablePmeStream', 'DeterministicForces')
DeviceIndex  value:  0
DeviceName  value:  NVIDIA GeForce RTX 3060
UseBlockingSync  value:  false
Precision  value:  single
UseCpuPme  value:  false
CudaCompiler  value:  
TempDirectory  value:  /tmp
CudaHostCompiler  value:  
DisablePmeStream  value:  false
DeterministicForces  value:  false
